,사용월,호선명,지하철역,승객수
60,202305,3호선,가락시장,518135
61,202305,3호선,경복궁(정부서울청사),1633818
62,202305,3호선,경찰병원,418737
63,202305,3호선,고속터미널,3061878
64,202305,3호선,교대(법원.검찰청),749356
65,202305,3호선,구파발,1281790
66,202305,3호선,금호,461218
67,202305,3호선,남부터미널(예술의전당),1765932
68,202305,3호선,녹번,899721
69,202305,3호선,대청,584398
70,202305,3호선,대치,709099
71,202305,3호선,도곡,313013
72,202305,3호선,독립문,479618
73,202305,3호선,동대입구,747482
74,202305,3호선,매봉,678594
75,202305,3호선,무악재,261159
76,202305,3호선,불광,1045262
77,202305,3호선,수서,1111167
78,202305,3호선,신사,1665937
79,202305,3호선,안국,1633237
80,202305,3호선,압구정,1923016
81,202305,3호선,약수,773074
82,202305,3호선,양재(서초구청),2190510
83,202305,3호선,연신내,2063631
84,202305,3호선,오금,360857
85,202305,3호선,옥수,549462
86,202305,3호선,을지로3가,664409
87,202305,3호선,일원,610574
88,202305,3호선,잠원,292893
89,202305,3호선,종로3가,677448
90,202305,3호선,지축,384195
91,202305,3호선,충무로,53
92,202305,3호선,학여울,139963
93,202305,3호선,홍제,1086616
0,202304,1호선,동대문,705285
1,202304,1호선,동묘앞,630729
2,202304,1호선,서울역,3027835
3,202304,1호선,시청,1480345
4,202304,1호선,신설동,795761
5,202304,1호선,제기동,1029744
6,202304,1호선,종각,2105482
7,202304,1호선,종로3가,1512769
8,202304,1호선,종로5가,1445233
9,202304,1호선,청량리(서울시립대입구),1202856
10,202304,2호선,강남,4411781
11,202304,2호선,강변(동서울터미널),1827069
12,202304,2호선,건대입구,2296170
13,202304,2호선,교대(법원.검찰청),1931327
14,202304,2호선,구로디지털단지,3259947
15,202304,2호선,구의(광진구청),1360969
16,202304,2호선,낙성대(강감찬),1618554
17,202304,2호선,당산,1185348
18,202304,2호선,대림(구로구청),1471207
19,202304,2호선,도림천,76576
20,202304,2호선,동대문역사문화공원(DDP),915350
21,202304,2호선,뚝섬,1428993
22,202304,2호선,문래,1240977
23,202304,2호선,방배,1076385
24,202304,2호선,봉천,1355733
25,202304,2호선,사당,2473543
26,202304,2호선,삼성(무역센터),3100178
27,202304,2호선,상왕십리,816086
28,202304,2호선,서울대입구(관악구청),2740715
29,202304,2호선,서초,1242608
30,202304,2호선,선릉,2822638
31,202304,2호선,성수,2305498
32,202304,2호선,시청,1362487
33,202304,2호선,신답,101652
34,202304,2호선,신당,886759
35,202304,2호선,신대방,1504602
36,202304,2호선,신도림,2909794
37,202304,2호선,신림,3282047
38,202304,2호선,신설동,230794
39,202304,2호선,신정네거리,614780
40,202304,2호선,신촌,2313572
41,202304,2호선,아현,620943
42,202304,2호선,양천구청,417482
43,202304,2호선,역삼,2885945
44,202304,2호선,영등포구청,1231511
45,202304,2호선,왕십리(성동구청),893601
46,202304,2호선,용답,181262
47,202304,2호선,용두(동대문구청),138953
48,202304,2호선,을지로3가,1367205
49,202304,2호선,을지로4가,784780
50,202304,2호선,을지로입구,2646270
51,202304,2호선,이대,1075918
52,202304,2호선,잠실(송파구청),4731804
53,202304,2호선,잠실나루,841142
54,202304,2호선,잠실새내,1351482
55,202304,2호선,종합운동장,969552
56,202304,2호선,충정로(경기대입구),582895
57,202304,2호선,한양대,785493
58,202304,2호선,합정,2057008
59,202304,2호선,홍대입구,4213488
60,202304,3호선,가락시장,512477
61,202304,3호선,경복궁(정부서울청사),1586114
62,202304,3호선,경찰병원,412421
63,202304,3호선,고속터미널,2854838
64,202304,3호선,교대(법원.검찰청),723808
65,202304,3호선,구파발,1235296
66,202304,3호선,금호,453882
67,202304,3호선,남부터미널(예술의전당),1700526
68,202304,3호선,녹번,868957
69,202304,3호선,대청,577656
70,202304,3호선,대치,672898
71,202304,3호선,도곡,317351
72,202304,3호선,독립문,453607
73,202304,3호선,동대입구,695363
74,202304,3호선,매봉,678681
75,202304,3호선,무악재,251075
76,202304,3호선,불광,1017055
77,202304,3호선,수서,1094520
78,202304,3호선,신사,1658370
79,202304,3호선,안국,1634737
80,202304,3호선,압구정,1888730
81,202304,3호선,약수,752711
82,202304,3호선,양재(서초구청),2172328
83,202304,3호선,연신내,2014255
84,202304,3호선,오금,350646
85,202304,3호선,옥수,535547
86,202304,3호선,을지로3가,647610
87,202304,3호선,일원,603103
88,202304,3호선,잠원,286141
89,202304,3호선,종로3가,649693
90,202304,3호선,지축,369701
91,202304,3호선,충무로,49
92,202304,3호선,학여울,150766
93,202304,3호선,홍제,1054972
